"t"	"glc"	"gln"	"cys2o"	"xct"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"rtkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"rtkPhos'[t]"	"glu'[t]"
54	0	2000	200	3	0.9142621222554784	1.0142662592764264	87.89769412658049	1480.6729815180777	0.0317467906456336	180.10689159725163	867.8688790860438	0.049016140449313815	0.01694464133037354	1906.13464767045	-4.775754689750699e-6	-4.130346166052337e-6	0.0008245123112232254	0.1916786454134625	-3.2263063272495115e-6	0.017645874877823244	-0.005468150663621116	3.628722659476873e-7	-7.313422411205185e-8	-0.013123776453580063
55	0	2000	200	3	0.9142571253138474	1.0142618297261272	87.89855699128151	1480.8618178888028	0.03174363013102003	180.1242648405089	867.8641046232246	0.049016520544684854	0.016944559665214548	1906.1227414828245	-5.19495894596323e-6	-4.70002903457428e-6	0.0008971043814383592	0.18604414510327336	-3.0971934950587383e-6	0.017106177118879726	-0.004128076525953375	3.9549829918287493e-7	-8.941133413141364e-8	-0.010786056688827251
56	0	2000	200	3	0.9142517663552663	1.0142569014735705	87.8994823472684	1481.045153027764	0.031740592624857136	180.14111282364925	867.8605429050789	0.04901692878268654	0.016944463647469692	1906.1129403803443	-5.504468442929039e-6	-5.1335172070468675e-6	0.0009503344381918096	0.18066980826165727	-2.979828931018903e-6	0.016594545874078562	-0.003035078447410481	4.1952499253918437e-7	-1.0199907217211181e-7	-0.008892855685844607
57	0	2000	200	3	0.9142461458620443	1.0142515995332455	87.90045249890859	1481.2232344135678	0.031737667229374496	180.15746213398202	867.857966333026	0.049017357294980295	0.01694435666440165	1906.1048381092642	-5.722217782083387e-6	-5.452568811742054e-6	0.0009874474757509038	0.17553086949562097	-2.872563692323649e-6	0.016108101223041422	-0.0021509384805723955	4.3637906605655437e-7	-1.1148486395278766e-7	-0.007369882800765223
58	0	2000	200	3	0.9142403457318534	1.0142460263136128	87.90145310728566	1481.3962838275481	0.03173484477203852	180.17333633298892	867.8561856386494	0.049017799691845894	0.016944241490845547	1906.0981060120628	-5.866083384850251e-6	-5.678905431282709e-6	0.0010116741818089446	0.17060250800065507	-2.7737230913051837e-6	0.015643929790591694	-0.0014386063946337498	4.4748106998984005e-7	-1.184569191621183e-7	-0.006142448219147078
59	0	2000	200	3	0.9142344321725491	1.0142402651166906	87.90247265685913	1481.5645010800115	0.03173211754687294	180.18875640438836	867.8550443901577	0.04901825082727097	0.016944120384751866	1906.0924802146978	-5.951634426643452e-6	-5.831601450022295e-6	0.0010257983684325656	0.1658629700188897	-2.6818710640344134e-6	0.015199444079641487	-0.0008662244209326695	4.5406161025440083e-7	-1.234324471220535e-7	-0.005146686496492216
60	0	2000	200	3	0.9142284584292839	1.0142343833596446	87.90350194623818	1481.7280676718742	0.03172947899751232	180.20374119549902	867.8544143646056	0.04901870657967525	0.016943995176072802	1906.0877486155125	-5.990259615600894e-6	-5.924656183501869e-6	0.001031841937348368	0.16129594983467124	-2.596007338314395e-6	0.014772745828514343	-0.00040858711263020364	4.570176806390984e-7	-1.2678799226303688e-7	-0.0043379193420848925
61	0	2000	200	3	0.9142224665938975	1.014228434776929	87.90453374773108	1481.887149107619	0.031726923613849344	180.21830768187738	867.8541915143967	0.049019163701653726	0.016943867325963983	1906.0837431037316	-5.989202199793798e-6	-5.966984417586992e-6	0.0010310599423941213	0.1568905769022046	-2.515425073937446e-6	0.014362594436668564	-0.000048532786562022345	4.569074666919011e-7	-1.2876144108957163e-7	-0.0036896647181162237
62	0	2000	200	3	0.9142164904233354	1.014222462777965	87.90556229887575	1482.0418984834737	0.03172444658612032	180.23247140633865	867.8542909427537	0.04901961959877661	0.01694373801887516	1906.0803271144675	-5.9584531112268325e-6	-5.970971347329727e-6	0.0010252434760249964	0.1526321405932011	-2.4393685396245028e-6	0.013967269538528374	0.00023562920794647626	4.545273937090147e-7	-1.2968697521401982e-7	-0.003161860863072818
63	0	2000	200	3	0.9142105569409953	1.0142165023941514	87.90658301378396	1482.1924584909252	0.03172204367070321	180.24624671290928	867.8546433036446	0.04902007220219883	0.01694360821474956	1906.0773892372063	-5.9043430073396596e-6	-5.944369768684659e-6	0.0010154686618347021	0.14851091122191545	-2.367090480581847e-6	0.013585649781693208	0.0004583147265285806	4.5035583291426633e-7	-1.2977229470377055e-7	-0.0027316209539186257
64	0	2000	200	3	0.9142046872778311	1.0142105814247886	87.9075923067457	1482.3389624795716	0.03171971132917656	180.25964686535974	867.855192369028	0.04902051988806946	0.016943478679198574	1906.0748395560272	-5.832477495544113e-6	-5.894208792904049e-6	0.001002702325633667	0.14451777661536552	-2.298122737259718e-6	0.013216690371069763	0.0006327719777161665	4.448268435373079e-7	-1.292053833925572e-7	-0.002378744089354423
65	0	2000	200	3	0.9141988969613538	1.0142047205391858	87.90858759526817	1482.4815347072397	0.031717446292909894	180.2726840757487	867.8558947617327	0.049020961483201474	0.016943349986101912	1906.072609900542	-5.745799702483852e-6	-5.824435607473187e-6	0.0009874735369713528	0.14064669823805084	-2.2324604821698985e-6	0.012859690232487214	0.0007655259780445812	4.381823281179467e-7	-1.2809340815881874e-7	-0.0020916495990765493
