"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"tkPhosmax"	"tkPhosmd"	"tkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldkNadphOxCys2"	"foldkCys2Red"
1	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.	0.
2	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.05	0.
3	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.1	0.
4	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.
5	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.2	0.
6	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.25	0.
7	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.
8	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.
9	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.4	0.
10	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.45	0.
11	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.5	0.
12	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.55	0.
13	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.
14	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.65	0.
15	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.
16	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.75	0.
17	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.8	0.
18	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.
19	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.9	0.
20	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.9500000000000001	0.
21	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	1.	0.
22	3	3	0.43427316532977056	0.3045683868580913	0.0011098977465176408	0.5342731653297705	0.4045683868580912	0.10110989774651764	0.4495134830253254	0.2229639543800015	0.22053815070639562	2712.4995611229174	327.53102768330353	275.47942163151384	1393.9788388635632	1367.9530358376683	175.46876911786146	867.9074943067577	867.9074943067577	867.9074943067577	518.5573695915962	512.9155680922076	254.4121314342432	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999590837783129	0.09149221480752485	0.08638243996256444	0.01037533393415239	0.009852972485588697	0.009091247254080056	100	2000	200	0.7	0.00005	1.7	0.	0.05
23	3	3	0.5185488528900393	0.2183404429105712	0.0011946651452091617	0.6185488528900392	0.3183404429105712	0.10119466514520917	0.34912029972866243	0.1811742295674291	0.17665264528151028	2615.5978819949155	349.92824871660724	229.37683014300006	1417.0301346078202	1356.7544253210165	223.91960868186226	867.9074943067577	867.9074943067577	867.9074943067577	647.3816632785711	631.2248910783452	327.5709931899859	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999543274373325	0.09412688034754323	0.08156150873334152	0.01092161994525825	0.009603668108199442	0.009091286565777642	100	2000	200	0.7	0.00005	1.7	0.05	0.05
24	3	3	0.5909721885950276	0.14953615162574316	0.0013686589364543924	0.6909721885950276	0.24953615162574316	0.10136865893645439	0.24923443709740276	0.1390131060995694	0.13380169826294475	2445.8033006854475	373.2682214258017	190.73676284656042	1436.35016825604	1345.0844389664192	308.8168993365963	867.9074943067577	867.9074943067577	867.9074943067577	854.7102526319358	822.6683550469762	458.8518531257785	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999440436460731	0.09614817772900568	0.07634540407356102	0.011581392324576547	0.009420792908503634	0.009091371563640815	100	2000	200	0.7	0.00005	1.7	0.1	0.05
25	3	3	0.6778144306215538	0.08121036107167684	0.0019120402167020602	0.7778144306215538	0.18121036107167682	0.10191204021670207	0.15064806319206	0.09708617668381701	0.09162279038632205	2074.8594149574237	428.1281533963341	151.95032349689149	1455.7433879308744	1317.654472981153	494.28884220060837	867.9074943067577	867.9074943067577	867.9074943067577	1248.1794414108574	1177.9399213272977	759.1314544754866	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999078557313634	0.09813844098681072	0.06915264273181869	0.012633816957800813	0.009247405371064733	0.009091670677586611	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.05
26	3	1	0.8128359250392697	0.8128359250392697	0.8128359250392697	0.9128359250392698	0.9128359250392698	0.9128359250392698	0.05006795084623412	0.05006795084623412	0.05006795084623412	109.46991740752493	109.46991740752493	109.46991740752493	1476.9835909755577	1476.9835909755577	1476.9835909755577	867.9074943067577	867.9074943067577	867.9074943067577	2284.1294958550375	2284.1294958550375	2284.1294958550375	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.057388153674520104	0.057388153674520104	0.057388153674520104	0.01483940344811831	0.01483940344811831	0.01483940344811831	100	2000	200	0.7	0.00005	1.7	0.2	0.05
27	3	1	1.1647058903458067	1.1647058903458067	1.1647058903458067	1.2647058903458068	1.2647058903458068	1.2647058903458068	0.009201649843056369	0.009201649843056369	0.009201649843056369	56.89952025083115	56.89952025083115	56.89952025083115	1503.2687895539045	1503.2687895539045	1503.2687895539045	867.9074943067577	867.9074943067577	867.9074943067577	12428.388960182145	12428.388960182145	12428.388960182145	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.032819682980737994	0.032819682980737994	0.032819682980737994	0.023353745996901477	0.023353745996901477	0.023353745996901477	100	2000	200	0.7	0.00005	1.7	0.25	0.05
28	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.05
29	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.05
30	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.4	0.05
31	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.45	0.05
32	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.5	0.05
33	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.55	0.05
34	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.05
35	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.65	0.05
36	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.05
37	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.75	0.05
38	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.8	0.05
39	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.05
40	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.9	0.05
41	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	0.9500000000000001	0.05
42	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"tkPhos"	"Median[tkPhos]"	"tkPhos"	100	2000	200	0.7	0.00005	1.7	1.	0.05
43	3	3	0.43427316532977056	0.3045683868580913	0.0011098977465176408	0.5342731653297705	0.4045683868580912	0.10110989774651764	0.4495134830253254	0.2229639543800015	0.22053815070639562	2712.4995611229174	327.53102768330353	275.47942163151384	1393.9788388635632	1367.9530358376683	175.46876911786146	867.9074943067577	867.9074943067577	867.9074943067577	259.2786847957981	256.4577840461038	127.2060657171216	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999590837783129	0.09149221480752485	0.08638243996256444	0.01037533393415239	0.009852972485588697	0.009091247254080056	100	2000	200	0.7	0.00005	1.7	0.	0.1
44	3	3	0.4810422917522632	0.2564305693290934	0.001146016773171299	0.5810422917522632	0.3564305693290934	0.10114601677317131	0.399275502730267	0.20218490368656777	0.19840289979771422	2669.8915878002203	340.2765030642268	250.3133059213315	1406.5618967186545	1361.5802981472068	196.77275577920997	867.9074943067577	867.9074943067577	867.9074943067577	288.2056750216437	282.8145950554992	143.21149499893218	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999570781229765	0.09299216009848996	0.08388022702497648	0.010651870278647217	0.00970947690623941	0.009091263831007404	100	2000	200	0.7	0.00005	1.7	0.05	0.1
45	3	3	0.5185488528900393	0.2183404429105712	0.0011946651452091617	0.6185488528900392	0.3183404429105712	0.10119466514520917	0.34912029972866243	0.1811742295674291	0.17665264528151028	2615.5978819949155	349.92824871660724	229.37683014300006	1417.0301346078202	1356.7544253210165	223.91960868186226	867.9074943067577	867.9074943067577	867.9074943067577	323.69083163928553	315.6124455391726	163.78549659499296	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999543274373325	0.09412688034754323	0.08156150873334152	0.01092161994525825	0.009603668108199442	0.009091286565777642	100	2000	200	0.7	0.00005	1.7	0.1	0.1
46	3	3	0.5542077952144941	0.18341308876012122	0.0012636221521054925	0.6542077952144941	0.2834130887601212	0.10126362215210549	0.29908544702835194	0.1600956662921666	0.15513452780483042	2544.0999342221107	360.12023839472323	209.82892133032203	1426.804089014159	1351.6584304819585	259.6685825682648	867.9074943067577	867.9074943067577	867.9074943067577	368.588749851929	357.16670530043945	191.18563684922887	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999950333735884	0.09515371931223135	0.07910618585299745	0.01122256541930485	0.009509887111369929	0.009091319574435592	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.1
47	3	3	0.5909721885950276	0.14953615162574316	0.0013686589364543924	0.6909721885950276	0.24953615162574316	0.10136865893645439	0.24923443709740276	0.1390131060995694	0.13380169826294475	2445.8033006854475	373.2682214258017	190.73676284656042	1436.35016825604	1345.0844389664192	308.8168993365963	867.9074943067577	867.9074943067577	867.9074943067577	427.3551263159679	411.3341775234881	229.42592656288926	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999440436460731	0.09614817772900568	0.07634540407356102	0.011581392324576547	0.009420792908503634	0.009091371563640815	100	2000	200	0.7	0.00005	1.7	0.2	0.1
48	3	3	0.631209517291858	0.11569395803442482	0.0015470860799609689	0.731209517291858	0.21569395803442482	0.10154708607996098	0.1996818954752029	0.11797932875319267	0.11263401932585425	2302.480738658744	393.0475646054748	171.57969790071994	1445.9287007289602	1335.1947673765826	380.4781803499482	867.9074943067577	867.9074943067577	867.9074943067577	507.6693702728085	484.66830814126314	286.3596698457455	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999328123745427	0.09714065475857708	0.07310576181671427	0.012032860034487763	0.009333525189418778	0.009091464394458723	100	2000	200	0.7	0.00005	1.7	0.25	0.1
49	3	3	0.6778144306215538	0.08121036107167684	0.0019120402167020602	0.7778144306215538	0.18121036107167682	0.10191204021670207	0.15064806319206	0.09708617668381701	0.09162279038632205	2074.8594149574237	428.1281533963341	151.95032349689149	1455.7433879308744	1317.654472981153	494.28884220060837	867.9074943067577	867.9074943067577	867.9074943067577	624.0897207054287	588.9699606636489	379.5657272377433	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999078557313634	0.09813844098681072	0.06915264273181869	0.012633816957800813	0.009247405371064733	0.009091670677586611	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.1
50	3	3	0.7353877432414759	0.04506638102200214	0.003029097074396603	0.8353877432414758	0.14506638102200214	0.10302909707439661	0.10250980716692001	0.07668658638021311	0.07076615168639012	1657.546311297199	511.90762504641174	131.42862230033035	1466.004238529155	1275.7647371561143	702.9453940307205	867.9074943067577	867.9074943067577	867.9074943067577	808.0253101208115	745.6433303596068	557.8084989404219	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998172875412302	0.09912732114044975	0.06412172104674851	0.013491321921266518	0.00916360806395104	0.009092419362088922	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.1
