"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldkPptaseOxRos"	"foldRos"
1	3	1	0	0	0	0.1	0.1	0.1	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.
2	3	1	0.000043569533052358997	0.000043569533052358997	0.000043569533052358997	0.10004356953305236	0.10004356953305236	0.10004356953305236	0.42353954565334356	0.42353954565334356	0.42353954565334356	3045.0497139271756	3045.0497139271756	3045.0497139271756	9.193692715732372	9.193692715732372	9.193692715732372	867.9074943067577	867.9074943067577	867.9074943067577	13.500709024524678	13.500709024524678	13.500709024524678	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.05
3	3	1	0.00008826062790292746	0.00008826062790292746	0.00008826062790292746	0.10008826062790292	0.10008826062790292	0.10008826062790292	0.41963754270398795	0.41963754270398795	0.41963754270398795	3026.3162730328822	3026.3162730328822	3026.3162730328822	18.560413162878962	18.560413162878962	18.560413162878962	867.9074943067577	867.9074943067577	867.9074943067577	13.626245472223417	13.626245472223417	13.626245472223417	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.1
4	3	1	0.00013413855152760007	0.00013413855152760007	0.00013413855152760007	0.1001341385515276	0.1001341385515276	0.1001341385515276	0.41573461373644616	0.41573461373644616	0.41573461373644616	3007.226604400891	3007.226604400891	3007.226604400891	28.105247478874627	28.105247478874627	28.105247478874627	867.9074943067577	867.9074943067577	867.9074943067577	13.754169071594651	13.754169071594651	13.754169071594651	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.15000000000000002
5	3	1	0.00018127365425135388	0.00018127365425135388	0.00018127365425135388	0.10018127365425135	0.10018127365425135	0.10018127365425135	0.41183068776404763	0.41183068776404763	0.41183068776404763	2987.7700941864446	2987.7700941864446	2987.7700941864446	37.83350258609791	37.83350258609791	37.83350258609791	867.9074943067577	867.9074943067577	867.9074943067577	13.884550948085902	13.884550948085902	13.884550948085902	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.2
6	3	1	0.00022974187133090266	0.00022974187133090266	0.00022974187133090266	0.10022974187133091	0.10022974187133091	0.10022974187133091	0.4079256850255056	0.4079256850255056	0.4079256850255056	2967.9356584969137	2967.9356584969137	2967.9356584969137	47.750720430863325	47.750720430863325	47.750720430863325	867.9074943067577	867.9074943067577	867.9074943067577	14.017465377027321	14.017465377027321	14.017465377027321	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.25
7	3	1	0.00027962528527472906	0.00027962528527472906	0.00027962528527472906	0.10027962528527473	0.10027962528527473	0.10027962528527473	0.4040195159666425	0.4040195159666425	0.4040195159666425	2947.711712224982	2947.711712224982	2947.711712224982	57.86269356682908	57.86269356682908	57.86269356682908	867.9074943067577	867.9074943067577	867.9074943067577	14.152989992486614	14.152989992486614	14.152989992486614	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.30000000000000004
8	3	1	0.0003310127577275602	0.0003310127577275602	0.0003310127577275602	0.10033101275772756	0.10033101275772756	0.10033101275772756	0.40011208009007265	0.40011208009007265	0.40011208009007265	2927.0861348457966	2927.0861348457966	2927.0861348457966	68.17548225642187	68.17548225642187	68.17548225642187	867.9074943067577	867.9074943067577	867.9074943067577	14.29120601646901	14.29120601646901	14.29120601646901	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.35000000000000003
9	3	1	0.0003840006412601536	0.0003840006412601536	0.0003840006412601536	0.10038400064126016	0.10038400064126016	0.10038400064126016	0.39620326465300626	0.39620326465300626	0.39620326465300626	2906.0462327742603	2906.0462327742603	2906.0462327742603	78.69543329218986	78.69543329218986	78.69543329218986	867.9074943067577	867.9074943067577	867.9074943067577	14.432198511168401	14.432198511168401	14.432198511168401	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.4
10	3	1	0.00043869358322125914	0.00043869358322125914	0.00043869358322125914	0.10043869358322126	0.10043869358322126	0.10043869358322126	0.3922929431898717	0.3922929431898717	0.3922929431898717	2884.578697810994	2884.578697810994	2884.578697810994	89.42920077382315	89.42920077382315	89.42920077382315	867.9074943067577	867.9074943067577	867.9074943067577	14.576056657429078	14.576056657429078	14.576056657429078	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.45
11	3	1	0.0004952054359962602	0.0004952054359962602	0.0004952054359962602	0.10049520543599626	0.10049520543599626	0.10049520543599626	0.3883809738322776	0.3883809738322776	0.3883809738322776	2862.6695611242844	2862.6695611242844	2862.6695611242844	100.38376911717788	100.38376911717788	100.38376911717788	867.9074943067577	867.9074943067577	867.9074943067577	14.72287406312167	14.72287406312167	14.72287406312167	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.5
12	3	1	0.0005536602906638827	0.0005536602906638827	0.0005536602906638827	0.10055366029066388	0.10055366029066388	0.10055366029066388	0.38446719739379476	0.38446719739379476	0.38446719739379476	2840.3041421174894	2840.3041421174894	2840.3041421174894	111.56647862057535	111.56647862057535	111.56647862057535	867.9074943067577	867.9074943067577	867.9074943067577	14.872749105792675	14.872749105792675	14.872749105792675	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.55
13	3	1	0.0006141936542596856	0.0006141936542596856	0.0006141936542596856	0.10061419365425968	0.10061419365425968	0.10061419365425968	0.38055143518091966	0.38055143518091966	0.38055143518091966	2817.4669914128185	2817.4669914128185	2817.4669914128185	122.98505397291093	122.98505397291093	122.98505397291093	867.9074943067577	867.9074943067577	867.9074943067577	15.025785314741269	15.025785314741269	15.025785314741269	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.6000000000000001
14	3	1	0.0006769537947847489	0.0006769537947847489	0.0006769537947847489	0.10067695379478475	0.10067695379478475	0.10067695379478475	0.3766334864841223	0.3766334864841223	0.3766334864841223	2794.141827038183	2794.141827038183	2794.141827038183	134.6476361602288	134.6476361602288	134.6476361602288	867.9074943067577	867.9074943067577	867.9074943067577	15.1820917986437	15.1820917986437	15.1820917986437	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.65
