"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"
11	3	3	0.5185488528900393	0.2183404429105712	0.0011946651452091617	0.6185488528900392	0.3183404429105712	0.10119466514520917	0.34912029972866243	0.1811742295674291	0.17665264528151028	2615.5978819949155	349.92824871660724	229.37683014300006	1417.0301346078202	1356.7544253210165	223.91960868186226	867.9074943067577	867.9074943067577	867.9074943067577	32.36908316392855	31.561244553917255	16.378549659499296	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999543274373325	0.09412688034754323	0.08156150873334152	0.01092161994525825	0.009603668108199442	0.009091286565777642	100	2000	200	0.7	0.00005	1.7
12	3	3	0.4991036643491593	0.23785294815933114	0.0011736609020974065	0.5991036643491593	0.33785294815933115	0.10117366090209741	0.3700170162375072	0.1924562950040527	0.18833181941517574	2639.6178504173517	345.04198525620967	240.32376485919212	1411.5566672497241	1359.1975570512152	211.90962447064413	867.9074943067577	867.9074943067577	867.9074943067577	30.361752910376303	29.711078903003752	15.453570823280305	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999555386883217	0.09355110207377268	0.08280341246828088	0.010775465830437954	0.009657067669715117	0.009091276554618591	110	2000	200	0.7	0.00005	1.7
13	3	3	0.47939067916914235	0.25789910489666296	0.0011567168153307828	0.5793906791691423	0.35789910489666293	0.10115671681533078	0.38939036575804614	0.2032686207349297	0.19961779608347852	2659.6455688049923	340.1559167776595	251.40512347959373	1406.0159879395233	1361.6405912904904	201.89576527682397	867.9074943067577	867.9074943067577	867.9074943067577	28.645162297323036	28.130678240306374	14.684708891329372	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999565105018557	0.09295253325273564	0.08398530210549011	0.010639961542897307	0.009713214123105886	0.00909126852245958	120	2000	200	0.7	0.00005	1.7
14	3	3	0.4584751748119116	0.27932421410970065	0.0011427948127816778	0.5584751748119116	0.37932421410970063	0.10114279481278168	0.40739821449130836	0.2136193710730796	0.2105472749412835	2676.593950679047	334.80808143637495	262.9715888893179	1400.2327552346612	1364.3145089611326	193.42157433979668	867.9074943067577	867.9074943067577	867.9074943067577	27.15819602908568	26.767629440726182	14.035614204605624	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999573059626037	0.09229961330711255	0.08515392456767715	0.010509288025096238	0.009775208015673638	0.009091261947888713	130	2000	200	0.7	0.00005	1.7
15	3	3	0.43441509471826756	0.30400824280971595	0.001131181505590151	0.5344150947182675	0.4040082428097159	0.10113118150559014	0.4241780954319591	0.22349506598953922	0.22117597491897711	2691.1179184026423	328.1592402811988	275.7903260327745	1393.823386662933	1367.6389295387207	186.15959047799896	867.9074943067577	867.9074943067577	867.9074943067577	25.853098051630017	25.584834013797934	13.480385309435182	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999579678782601	0.09152141376422016	0.08639186176304757	0.010374319799509842	0.00985013863501216	0.009091256477090014	140	2000	200	0.7	0.00005	1.7
16	3	3	0.3991656886155596	0.33995258645306853	0.0011213706887950093	0.4991656886155596	0.4399525864530685	0.10112137068879501	0.43985014486518165	0.23276411194359836	0.2316751864251282	2703.699365101545	316.9258493935561	293.0980576767625	1385.169520840939	1373.255624982542	179.86886712854758	867.9074943067577	867.9074943067577	867.9074943067577	24.681470011865613	24.56600426285105	13.000073395446591	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999585262993411	0.0903125637453698	0.08801356887038628	0.01020266899292695	0.009968841017146846	0.00909125186168939	150	2000	200	0.7	0.00005	1.7
17	3	1	0.0011129933524984125	0.0011129933524984125	0.0011129933524984125	0.10111299335249842	0.10111299335249842	0.10111299335249842	0.4545196301129178	0.4545196301129178	0.4545196301129178	2714.700666251155	2714.700666251155	2714.700666251155	174.36821655374277	174.36821655374277	174.36821655374277	867.9074943067577	867.9074943067577	867.9074943067577	12.580499911136103	12.580499911136103	12.580499911136103	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999590029303465	0.09999590029303465	0.09999590029303465	0.009091247922294828	0.009091247922294828	0.009091247922294828	160	2000	200	0.7	0.00005	1.7
18	3	1	0.0011057742316666161	0.0011057742316666161	0.0011057742316666161	0.10110577423166661	0.10110577423166661	0.10110577423166661	0.46827909613703145	0.46827909613703145	0.46827909613703145	2724.399516110899	2724.399516110899	2724.399516110899	169.5187916238706	169.5187916238706	169.5187916238706	867.9074943067577	867.9074943067577	867.9074943067577	12.21084650887749	12.21084650887749	12.21084650887749	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999594138324433	0.09999594138324433	0.09999594138324433	0.009091244526157853	0.009091244526157853	0.009091244526157853	170	2000	200	0.7	0.00005	1.7
19	3	1	0.0010995038648900634	0.0010995038648900634	0.0010995038648900634	0.10109950386489007	0.10109950386489007	0.10109950386489007	0.4812101777421849	0.4812101777421849	0.4812101777421849	2733.012265669838	2733.012265669838	2733.012265669838	165.21241684440093	165.21241684440093	165.21241684440093	867.9074943067577	867.9074943067577	867.9074943067577	11.882716598127981	11.882716598127981	11.882716598127981	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999959771141648	0.0999959771141648	0.0999959771141648	0.00909124157297226	0.00909124157297226	0.00909124157297226	180	2000	200	0.7	0.00005	1.7
20	3	1	0.0010940200729719432	0.0010940200729719432	0.0010940200729719432	0.10109402007297194	0.10109402007297194	0.10109402007297194	0.493385126689949	0.493385126689949	0.493385126689949	2740.7099542377473	2740.7099542377473	2740.7099542377473	161.3635725604464	161.3635725604464	161.3635725604464	867.9074943067577	867.9074943067577	867.9074943067577	11.589494406949383	11.589494406949383	11.589494406949383	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999600841963381	0.09999600841963381	0.09999600841963381	0.009091238985554903	0.009091238985554903	0.009091238985554903	190	2000	200	0.7	0.00005	1.7
21	3	1	0.0010891953530088668	0.0010891953530088668	0.0010891953530088668	0.10108919535300886	0.10108919535300886	0.10108919535300886	0.5048680991766146	0.5048680991766146	0.5048680991766146	2747.6295682796103	2747.6295682796103	2747.6295682796103	157.903765539515	157.903765539515	157.903765539515	867.9074943067577	867.9074943067577	867.9074943067577	11.325897151297053	11.325897151297053	11.325897151297053	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999603602978291	0.09999603602978291	0.09999603602978291	0.00909123670355936	0.00909123670355936	0.00909123670355936	200	2000	200	0.7	0.00005	1.7
22	3	1	0.00108492809714004	0.00108492809714004	0.00108492809714004	0.10108492809714004	0.10108492809714004	0.10108492809714004	0.5157162432199656	0.5157162432199656	0.5157162432199656	2753.8821053117194	2753.8821053117194	2753.8821053117194	154.7774970234604	154.7774970234604	154.7774970234604	867.9074943067577	867.9074943067577	867.9074943067577	11.087655743676613	11.087655743676613	11.087655743676613	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999606052359847	0.09999606052359847	0.09999606052359847	0.009091234679131631	0.009091234679131631	0.009091234679131631	210	2000	200	0.7	0.00005	1.7
23	3	1	0.0010811363484651384	0.0010811363484651384	0.0010811363484651384	0.10108113634846513	0.10108113634846513	0.10108113634846513	0.5259806193973595	0.5259806193973595	0.5259806193973595	2759.558451932757	2759.558451932757	2759.558451932757	151.93932371294161	151.93932371294161	151.93932371294161	867.9074943067577	867.9074943067577	867.9074943067577	10.87128300049658	10.87128300049658	10.87128300049658	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999608236602947	0.09999608236602947	0.09999608236602947	0.009091232873843098	0.009091232873843098	0.009091232873843098	220	2000	200	0.7	0.00005	1.7
24	3	1	0.0010777532788690716	0.0010777532788690716	0.0010777532788690716	0.10107775327886907	0.10107775327886907	0.10107775327886907	0.5357069828058577	0.5357069828058577	0.5357069828058577	2764.733736838455	2764.733736838455	2764.733736838455	149.3516812600926	149.3516812600926	149.3516812600926	867.9074943067577	867.9074943067577	867.9074943067577	10.673902617986654	10.673902617986654	10.673902617986654	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999610193468912	0.09999610193468912	0.09999610193468912	0.009091231256483584	0.009091231256483584	0.009091231256483584	230	2000	200	0.7	0.00005	1.7
25	3	1	0.0010747238595340306	0.0010747238595340306	0.0010747238595340306	0.10107472385953403	0.10107472385953403	0.10107472385953403	0.544936449302181	0.544936449302181	0.544936449302181	2769.4706009498227	2769.4706009498227	2769.4706009498227	146.9832492044087	146.9832492044087	146.9832492044087	867.9074943067577	867.9074943067577	867.9074943067577	10.493121121861964	10.493121121861964	10.493121121861964	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999611953939888	0.09999611953939888	0.09999611953939888	0.009091229801446003	0.009091229801446003	0.009091229801446003	240	2000	200	0.7	0.00005	1.7
26	3	1	0.0010720023728678172	0.0010720023728678172	0.0010720023728678172	0.10107200237286781	0.10107200237286781	0.10107200237286781	0.5537060650380443	0.5537060650380443	0.5537060650380443	2773.8216862149643	2773.8216862149643	2773.8216862149643	144.80770657183788	144.80770657183788	144.80770657183788	867.9074943067577	867.9074943067577	867.9074943067577	10.3269307079963	10.3269307079963	10.3269307079963	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999613543671541	0.09999613543671541	0.09999613543671541	0.009091228487525681	0.009091228487525681	0.009091228487525681	250	2000	200	0.7	0.00005	1.7
27	3	1	0.0010695505279659533	0.0010695505279659533	0.0010695505279659533	0.10106955052796596	0.10106955052796596	0.10106955052796596	0.5620492949621156	0.5620492949621156	0.5620492949621156	2777.8315524012273	2777.8315524012273	2777.8315524012273	142.80277347870646	142.80277347870646	142.80277347870646	867.9074943067577	867.9074943067577	867.9074943067577	10.173634621551475	10.173634621551475	10.173634621551475	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999614984087989	0.09999614984087989	0.09999614984087989	0.009091227297015371	0.009091227297015371	0.009091227297015371	260	2000	200	0.7	0.00005	1.7
28	3	1	0.0010673360155568014	0.0010673360155568014	0.0010673360155568014	0.1010673360155568	0.1010673360155568	0.1010673360155568	0.5699964432146929	0.5699964432146929	0.5699964432146929	2781.5381695070732	2781.5381695070732	2781.5381695070732	140.94946492578347	140.94946492578347	140.94946492578347	867.9074943067577	867.9074943067577	867.9074943067577	10.03178920555373	10.03178920555373	10.03178920555373	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.099996162932176	0.099996162932176	0.099996162932176	0.00909122621501446	0.00909122621501446	0.00909122621501446	270	2000	200	0.7	0.00005	1.7
29	3	1	0.0010653313874073467	0.0010653313874073467	0.0010653313874073467	0.10106533138740735	0.10106533138740735	0.10106533138740735	0.5775750160962699	0.5775750160962699	0.5775750160962699	2784.974091450389	2784.974091450389	2784.974091450389	139.2315039541255	139.2315039541255	139.2315039541255	867.9074943067577	867.9074943067577	867.9074943067577	9.900158432912702	9.900158432912702	9.900158432912702	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999617486338458	0.09999617486338458	0.09999617486338458	0.009091225228895475	0.009091225228895475	0.009091225228895475	280	2000	200	0.7	0.00005	1.7
30	3	1	0.001063513178313299	0.001063513178313299	0.001063513178313299	0.1010635131783133	0.1010635131783133	0.1010635131783133	0.5848100364574789	0.5848100364574789	0.5848100364574789	2788.1673876747923	2788.1673876747923	2788.1673876747923	137.634855841924	137.634855841924	137.634855841924	867.9074943067577	867.9074943067577	867.9074943067577	9.777677895001267	9.777677895001267	9.777677895001267	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999961857648213	0.0999961857648213	0.0999961857648213	0.009091224327887717	0.009091224327887717	0.009091224327887717	290	2000	200	0.7	0.00005	1.7
