"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"tkPhosmax"	"tkPhosmd"	"tkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"
22	3	3	0.6579473635400273	0.09621300964081313	0.0016029345749414504	0.7579473635400272	0.19621300964081312	0.10160293457494145	0.18682645485632535	0.10548119685114465	0.09962575814291809	2257.470179315786	409.1531752572125	159.65326665857566	1451.8919163500323	1327.1419620507138	402.9834600214271	867.9074943067577	867.9074943067577	867.9074943067577	57.39564017211595	54.20951161859257	30.606394424400655	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999289992496882	0.09770251017901171	0.0708160039233828	0.012373786768126336	0.009284834664836558	0.009091495911846546	42	2000	200	0.7	0.00005	1.7
23	3	3	0.6513940249084845	0.10101690827073546	0.001564362028041777	0.7513940249084845	0.20101690827073546	0.10156436202804178	0.1939179573158371	0.10840445119040476	0.10258216393018604	2284.8827095786887	404.4445924782021	162.41741661464275	1450.5098413719986	1329.496253440219	389.2771948899757	867.9074943067577	867.9074943067577	867.9074943067577	55.741504635608116	52.747687972717706	29.487130771143832	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999315389396753	0.09756319348794294	0.07137444496416037	0.012288870301240503	0.009296860455450246	0.009091474920011765	44	2000	200	0.7	0.00005	1.7
24	3	3	0.6450570650768882	0.10575850659732798	0.0015302241425538155	0.7450570650768882	0.20575850659732797	0.10153022414255382	0.20088194121981043	0.11130528023973334	0.10551491200006452	2310.027027457398	400.18082022330356	165.1435330440111	1449.1467831573145	1331.6281395676683	376.70503595062115	867.9074943067577	867.9074943067577	867.9074943067577	54.192190069226235	51.37298207173424	28.464898992529623	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999337616934821	0.09742527598225076	0.07191120395886749	0.012208342103018775	0.009308796192110544	0.009091456547895923	46	2000	200	0.7	0.00005	1.7
25	3	3	0.6389205418522859	0.11044057161358425	0.001499810278017333	0.7389205418522857	0.21044057161358426	0.10149981027801734	0.20772044954591407	0.11418335576105719	0.10842425502864579	2333.169885133819	396.30058012468714	167.83334483540995	1447.8018772616151	1333.5682596169765	365.13360711241046	867.9074943067577	867.9074943067577	867.9074943067577	52.738053535479246	50.07808824791395	27.527786401123034	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999935722045667	0.097288768244271	0.07242768619440891	0.01213184606009031	0.009320640141223711	0.009091440344715727	48	2000	200	0.7	0.00005	1.7
26	3	3	0.6329699587942119	0.11506566378137517	0.0014725526617191066	0.7329699587942119	0.21506566378137515	0.10147255266171912	0.21443567830266988	0.11703846811060024	0.1113104448266766	2354.53812789874	392.75332479898566	170.4884931179695	1446.4743031203354	1335.3418872798272	354.4494857299499	867.9074943067577	867.9074943067577	867.9074943067577	51.37059846583942	48.85645086230658	26.665731241674546	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999374628698915	0.09715367103458307	0.07292518190462727	0.012059063085928542	0.009332391418276818	0.0090914259560799	50	2000	200	0.7	0.00005	1.7
27	3	3	0.6271920912252118	0.11963618475667843	0.0014479923980537546	0.7271920912252117	0.21963618475667845	0.10144799239805374	0.22102993514039804	0.1198704982248243	0.11417373221489295	2374.325857607216	389.49693705918713	173.11053990646315	1445.1632797260886	1336.9700811497266	344.55562087571207	867.9074943067577	867.9074943067577	867.9074943067577	50.082309260792506	47.70218069437375	25.87017981348569	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999939018307349	0.09701997660524109	0.07340487814588112	0.011989706384450662	0.009344049884150574	0.009091413099781289	52	2000	200	0.7	0.00005	1.7
28	3	3	0.6215748363522571	0.12415441333602235	0.0014257547082500823	0.721574836352257	0.22415441333602235	0.10142575470825008	0.22750560534062675	0.12267939690607825	0.11701436692047146	2392.700105560474	386.49600408317974	175.70097591681463	1443.8680617209127	1338.4705476377303	335.36849689908297	867.9074943067577	867.9074943067577	867.9074943067577	48.86651371734087	46.609979429739674	25.133816626996627	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999404158610364	0.09688766981337661	0.07386786925624295	0.011923517419343074	0.00935561605698746	0.009091401548484764	54	2000	200	0.7	0.00005	1.7
29	3	3	0.6161070835738564	0.12862253304603885	0.0014055306086920628	0.7161070835738563	0.22862253304603883	0.10140553060869206	0.23386512409556415	0.1254651692729836	0.11983259749270819	2409.8053666738238	383.72050373772333	178.26122767154226	1442.587935843549	1339.8582978104585	326.8158663424081	867.9074943067577	867.9074943067577	867.9074943067577	47.7172679712056	45.57507234381464	24.45035012535088	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999941677919111	0.09675672906191657	0.07431516609347935	0.011860262469166112	0.009367091037605902	0.009091391117134662	56	2000	200	0.7	0.00005	1.7
30	3	3	0.6107786017554372	0.13304265372082477	0.0013870631600974238	0.7107786017554372	0.23304265372082478	0.10138706316009742	0.24011095405485416	0.1282278629287833	0.12262867123635737	2425.7672538741526	381.1447913549872	180.7926639983916	1441.3222176801244	1341.1461540018265	318.83492274224386	867.9074943067577	867.9074943067577	867.9074943067577	46.62925976930801	44.59314875598413	23.814341118893147	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999428228800764	0.09662712709152503	0.07474770421731049	0.011799729670974864	0.0093784764466329	0.009091381653653714	58	2000	200	0.7	0.00005	1.7
31	3	3	0.6055799408208814	0.13741682870801128	0.0013701370135712487	0.7055799408208814	0.23741682870801128	0.10137013701357125	0.24624556723658372	0.13096755884791195	0.12540283416134626	2440.695465940774	378.746808858255	183.29660201202304	1440.0702486733085	1342.3451452501927	311.3708167089331	867.9074943067577	867.9074943067577	867.9074943067577	45.597726753832006	43.66030959533565	23.221064364384887	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999438659955161	0.09649883164465183	0.07516635115677013	0.01174172647316131	0.00938977437176625	0.009091373031976858	60	2000	200	0.7	0.00005	1.7
32	3	3	0.6005023454618883	0.14174706887506267	0.001354570369200614	0.7005023454618883	0.24174706887506267	0.1013545703692006	0.2522714305313055	0.13368436427767783	0.12815533094783765	2454.6862147115608	376.5074606904662	185.77431265774408	1438.831393350448	1343.464819334087	304.3754423235397	867.9074943067577	867.9074943067577	867.9074943067577	44.61838710847368	42.77302134128459	22.66639608854001	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999448200093398	0.09637180601935787	0.07557191288290185	0.011686077432538152	0.009400987323821663	0.009091365146767172	62	2000	200	0.7	0.00005	1.7
33	3	3	0.5955376791328287	0.14603535426862338	0.001340208723483638	0.6955376791328287	0.24603535426862339	0.10134020872348365	0.25819099415282515	0.13637840715259444	0.13088640492584433	2467.8242230491064	374.41011642905795	188.22702588749704	1437.6050367355715	1344.513491464791	297.8064381547668	867.9074943067577	867.9074943067577	867.9074943067577	43.68738043867003	41.9280756069191	22.146721983883765	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999456956483449	0.0962460095276371	0.07596513958980812	0.011632622302151866	0.009412118200447581	0.009091357909360848	64	2000	200	0.7	0.00005	1.7
34	3	3	0.5906783567951114	0.15028364406002007	0.0013269199592597315	0.6906783567951114	0.25028364406002007	0.10132691995925973	0.26400668250028714	0.139049831657	0.1335962980688183	2480.184379428651	372.4402107054158	190.65593553132052	1436.3905819136598	1345.4984443266121	291.62635996499455	867.9074943067577	867.9074943067577	867.9074943067577	42.80121716620973	41.12255367809587	21.658861480670883	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999465020027261	0.09612139787034846	0.07634673087263186	0.011581214365545326	0.009423170256593574	0.009091351244621912	66	2000	200	0.7	0.00005	1.7
35	3	3	0.5859172851158532	0.15449388525671293	0.001314590454448106	0.6859172851158531	0.2544938852567129	0.1013145904544481	0.2697208869908112	0.14169879466816282	0.13628525100084504	2491.8331159116988	370.5849186316848	193.062203922053	1435.1874477182937	1346.4260903634777	285.80199172347073	867.9074943067577	867.9074943067577	867.9074943067577	41.95673504104799	40.3537953843296	21.20000504981277	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999472468241462	0.09599792343860938	0.07671734037892054	0.011531718980660558	0.009434147080996057	0.009091345088478366	68	2000	200	0.7	0.00005	1.7
