"t"	"glc"	"gln"	"cys2o"	"xct"	"x"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"tkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"tkPhos'[t]"	"glu'[t]"
11	0	250.	25.	3	0.125	0.0035653696172721874	0.10327639552991928	1600.4706451543136	581.7612414002251	0.12419285094801112	23.678085039550876	415.08910778618537	0.09997774460624795	0.009092558862805834	2362.7688063180676	0.00029555667478242805	0.0002889740800704286	-59.035054669013675	16.722610846157963	-0.00032837119215698037	0.3843499149992221	2.8742411929915934	-2.6657131464423128e-6	2.0883569480303507e-7	30.65173738439077
12	0	250.	25.	3	0.125	0.003863040251255631	0.10356836499885416	1544.3856221322574	597.4222241697983	0.12391376080945879	24.038850925784544	418.18155837529434	0.09997501093170534	0.009092773857641727	2392.0181265196343	0.00029952120582381916	0.0002946753229232716	-53.256057739043264	14.655864753278706	-0.0002354936946582033	0.33834664160462186	3.25535112280327	-2.79913385355376e-6	2.209560562292704e-7	27.875997623291987
13	0	250.	25.	3	0.125	0.004163921010631046	0.10386519538368452	1493.729416523992	611.1770501743054	0.12371285062768328	24.356941296892554	421.51134069496015	0.09997215129017883	0.009093000373081634	2418.5822638703753	0.00030201154853699407	0.0002987256976598793	-48.16444499496517	12.90159241513934	-0.00017019299665051364	0.2988356444740158	3.3695947056843987	-2.9177088213134066e-6	2.3187294458455404e-7	25.284196406780545
14	0	250.	25.	3	0.125	0.0044666507046643295	0.10416533093580427	1447.8527647770077	623.3135501467633	0.12356671995311576	24.63838196425729	424.8661999546715	0.09996918020838123	0.00909323720395381	2442.6514630332276	0.0003032565911647461	0.0003013202462250828	-43.68487839551658	11.41196506558992	-0.00012492835728330362	0.2649075154645847	3.31916543226772	-3.022157961986587e-6	2.415925822564851e-7	22.886926115162947
15	0	250.	25.	3	0.125	0.004770100185419361	0.10446742426767515	1406.1789487529604	634.0757690300435	0.12345802572807729	24.88835569746079	428.11756529874	0.09996611121722176	0.009093483179368726	2464.4212961875637	0.00030349073068910065	0.00030267738907576927	-39.747615826977736	10.146899085625328	-0.00009458461072489355	0.23578083202749406	3.171655759866955	-3.1136861599582384e-6	2.501743255469922e-7	20.684984029646614
16	0	250.	25.	3	0.125	0.005073370502793385	0.10477035214738431	1368.1980956812404	643.6708764655501	0.12337384354635746	25.111318608457374	431.1920544227761	0.09996295644621224	0.009093737209790351	2484.084760787498	0.0003029404756977458	0.00030302228749300755	-36.28882472109377	9.072567366205462	-0.00007537129824854413	0.2107817447873465	2.9712808546237395	-3.1939088608064626e-6	2.577158908827583e-7	18.672900966348124
17	0	250.	25.	3	0.125	0.005375804675012279	0.10507322228765575	1333.4610894985105	652.2749002477572	0.12330452311721615	25.311100642909015	434.05213203710997	0.09995972610615829	0.009093998325937781	2501.827333351823	0.00030179401266008135	0.0003025941962453647	-33.2508470339355	8.160364860912194	-0.0000644637045238624	0.1893296222394001	2.7465634748824015	-3.2643739789501447e-6	2.64365005775088e-7	16.84144418761033
18	0	250.	25.	3	0.125	0.005676935262104104	0.10537534879119027	1301.573426831317	660.037518400929	0.12324285119515584	25.49099266915789	436.68313109763835	0.0999564286443112	0.009094265683244796	2517.824080637043	0.00030040424779870776	0.0003015865128478761	-30.58202863857973	7.386042689086993	-0.00005976603790518968	0.17092452961415525	2.515452356332521	-3.3290794390149926e-6	2.7024333540739256e-7	15.179253738300327
19	0	250.	25.	3	0.125	0.005976478590199242	0.10567626871720019	1272.1892532355878	667.0860961064661	0.12318345516956698	25.65382199714877	439.0845876137538	0.0999530707173859	0.00909453861066183	2532.2381597007434	0.00029869465652259655	0.0003002065823321815	-28.23671614629314	6.729147764014271	-0.000059683768227131755	0.15513820396736505	2.288858844303119	-3.386317663121477e-6	2.755240011331705e-7	13.674018025578311
20	0	250.	25.	3	0.125	0.006274312457103091	0.105975696529982	1245.005692174989	673.5291206182881	0.12312235407825488	25.802018453958887	441.2645248776306	0.09994965719105163	0.009094816583448817	2545.2202452959236	0.0002970136641179886	0.0002986257276689345	-26.17453083457208	6.172287331883618	-0.00006300601373216623	0.14160229126872773	2.0731776751481914	-3.440614935770667e-6	2.8035511830247767e-7	12.313187798219772
21	0	250.	25.	3	0.125	0.00657052709028739	0.10627350893287409	1219.757646091635	679.4590947611088	0.12305661587542607	25.93767125586653	443.23572134370806	0.09994619032549368	0.009095099227603078	2556.9085609840495	0.0002954112526452461	0.0002970106503123893	-24.36018705883059	5.700799640753452	-0.00006874543202981369	0.13000251800605847	1.8717547003843356	-3.4935657748637776e-6	2.8490113681796506e-7	11.084466258547115
22	0	250.	25.	3	0.125	0.006865227250753693	0.10656974437971102	1196.2130637999521	684.955008369701	0.12298415687175508	26.06257845120083	445.01329001930316	0.09994267119601222	0.009095386337903274	2567.4292583779115	0.0002940502826626282	0.00029548296948658163	-22.762953132749825	5.3023060215363795	-0.00007638099573345012	0.12007063875720339	1.6860662690425101	-3.5452328101612253e-6	2.8930440672959545e-7	9.976135385150435
23	0	250.	25.	3	0.125	0.007158721515322345	0.10686454977547823	1174.1685190130374	690.0844743250734	0.12290345092525656	26.178290448875465	446.6131817108808	0.09993909934716659	0.0090956778377125	2576.897154686578	0.00029300188568031233	0.00029417175765116135	-21.35585184246104	4.966276494316398	-0.00008520155226903435	0.11157620444920134	1.5163676592433148	-3.598883406398053e-6	2.937057200379209e-7	8.977011438558309
24	0	250.	25.	3	0.125	0.007451368444833159	0.10715819309729817	1153.4456855462	694.9054480295715	0.12281347481360562	26.286145183884972	448.0512242738062	0.09993547242978829	0.009095973793317792	2585.4162883801505	0.00029236700758695095	0.0002931750157362032	-20.115957167884496	4.683983061997783	-0.00009486377502819787	0.10432637165576321	1.3622550003994054	-3.6555702321000373e-6	2.9823783948428675e-7	8.076971052896711
25	0	250.	25.	3	0.125	0.007743617108800895	0.1074510348643018	1133.8877185842728	699.4678148278201	0.12271354653520931	26.387301443541325	449.3426096552109	0.09993178673613362	0.009096274399288612	2593.080901204216	0.00029221708310395633	0.00029258223765555257	-19.022986402543186	4.447920071487952	-0.00010506254192391083	0.09815361646232515	1.2228904825815337	-3.7166640786142105e-6	3.0302646962286984e-7	7.266443053827053
26	0	250.	25.	3	0.125	0.008035987885935838	0.10774351787563832	1115.3565014151422	703.8146225157285	0.12260324470563337	26.48276464212441	450.50157477175634	0.09992803716684513	0.009096579970889203	2599.976124431554	0.0002926216674960617	0.0002924700215379484	-18.059758090449836	4.2519050727888485	-0.00011557915369802788	0.09291849853884185	1.0972319592674893	-3.783545659215108e-6	3.081887497875919e-7	6.5368014367335725
27	0	250.	25.	3	0.125	0.008329067068334767	0.10803615853093497	1097.7299395766563	707.9832256160331	0.12248233587487559	26.57341114601866	451.5412706722695	0.09992421726498998	0.00909689093945751	2606.178827223133	0.00029364394794263845	0.0002929086383650969	-17.211389797173773	4.090721746826081	-0.00012625490164537594	0.0885021314942987	0.9841640762608949	-3.8575551674604766e-6	3.1383914885981874e-7	5.880152795847135
28	0	250.	25.	3	0.125	0.008623503285990706	0.108329540414557	1080.8997727996098	712.0061990672581	0.12235071950582292	26.66000775381113	452.4737191072319	0.09992031923688803	0.0090972078495452	2611.7583284044877	0.000295343750029723	0.0002939628457825754	-16.464988118702014	3.9599824627185414	-0.0001369805589724108	0.08480330560945377	0.8825506340656779	-3.940024681667255e-6	3.2009030296714697e-7	5.289253374801586
29	0	250.	25.	3	0.125	0.008920003772871783	0.10862430976170372	1064.7695910833181	715.9121443220627	0.12220838223452996	26.743229032640656	453.3098327171431	0.09991633393357713	0.009097531357236519	2616.7771040006814	0.00029778580738000314	0.00029569422240758794	-15.809720055105027	3.8561153544155498	-0.00014768774765312842	0.0817385034851631	0.7913157999524628	-4.032356418774217e-6	3.270538840199628e-7	4.757657448342393
