"t"	"glc"	"gln"	"cys2o"	"xct"	"x"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"tkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"tkPhos'[t]"	"glu'[t]"
0	0	2000	25.	3	0.125	0.0011004364350926115	0.10110043643509262	2862.7623149642886	100.33739219717576	0.8829376627450988	6.476203708954218	867.9074943067577	0.09999615618058633	0.00909122677303604	1906.0280554150588	-15.625158906232997	4.336808689942018e-19	2.842170943040401e-14	-2.842170943040401e-14	-995.0298666666607	-100.0664729092906	5.684341886080802e-14	-2.397821101152468e-15	-1.7347234759759002e-18	100.06647290929061
1	0	2000	25.	3	0.125	0.0011628394986588136	0.10109258633792974	2670.12782311996	192.96395541816074	0.1598489713572706	15.232579444704541	691.0630949246494	0.09999564888018786	0.009091233611746588	2010.3716451151336	0.0001848341396319089	0.00007025315372978999	-179.63451381267234	83.29284591657323	-0.010814585182671081	2.341577622406212	-130.68889412488414	-9.842942432211305e-7	3.859754265675274e-8	106.89746097566396
2	0	2000	25.	3	0.125	0.0013564457670741223	0.10120732246318208	2502.982143140254	268.1156561593714	0.1524074232644784	17.035211832601227	586.3921602059012	0.0999945855422815	0.009091290888240915	2117.969497970216	0.00020214964149580466	0.00014912311730126704	-155.4817213119732	67.76049936062674	-0.0052251444443585275	1.5350808744705484	-82.23815744929156	-1.143224476864042e-6	7.226695997626858e-8	107.64683470984015
3	0	2000	25.	3	0.125	0.0015665442238178692	0.10137807532292073	2357.833058303866	329.7119981044717	0.1484822780308707	18.43884247886636	521.2833086067945	0.09999336196861164	0.009091373792199674	2224.6087654374683	0.00021764193316660136	0.00018846868598268782	-135.3335375876802	55.92508701098089	-0.002855094800290171	1.2875899652043157	-50.097115397435	-1.3032512683106954e-6	9.231674139335029e-8	105.20398339474485
4	0	2000	25.	3	0.125	0.001790700589412512	0.10157903166391266	2231.473823421073	380.7799315382235	0.14637664185480243	19.62781922568226	482.6698882550958	0.09999198241162155	0.009091473976930674	2327.6843353076547	0.0002300566903051335	0.00021166890462147482	-117.73734754509805	46.550298248783626	-0.0014712144004639818	1.0965350161442438	-28.592875371254774	-1.453157790894361e-6	1.0754233062301436e-7	100.67225476273163
5	0	2000	25.	3	0.125	0.002025265013688491	0.10179869911070029	2121.7337875579483	423.39518575107803	0.14536470576807786	20.642346234575943	461.6560293643051	0.09999046303121989	0.009091588045343118	2425.5228707138863	0.0002383066360026965	0.0002265657595712119	-102.02646926306154	38.93209852520369	-0.0006191464727170891	0.9370511212151701	-14.444634789782487	-1.5809767114046678e-6	1.2021199668256178e-7	94.84246187887248
6	0	2000	25.	3	0.125	0.0022656849955254243	0.10203019071611165	2026.8886752109574	459.0879856456959	0.1450339996225485	21.510018358621096	452.1035021157655	0.09998883137569645	0.009091713599234965	2517.1321979875097	0.00024168410540153248	0.0002354942620052821	-87.91647645543507	32.64997737077298	-0.00008298373101329642	0.8019358609692889	-5.350259925482449	-1.6761344426405328e-6	1.3046018363694503e-7	88.29614560478285
7	0	2000	25.	3	0.125	0.002506907921617359	0.10226788948503568	1945.4147716605426	489.04714394874344	0.14513331771095728	22.252853193367127	449.81660362210334	0.09998712431697228	0.009091848006256016	2602.0180484992943	0.00023989923305319948	0.00023901844577593092	-75.26591308967356	27.426360567306013	0.00025566445549615345	0.686764576913929	0.3112699512045356	-1.7307484390637215e-6	1.3783066141798585e-7	81.45433599276961
8	0	2000	25.	3	0.125	0.0027437981993670845	0.10250648347857563	1875.9028920996266	514.2265841152735	0.14550325517717919	22.88912125297561	451.9633988542623	0.09998538486891966	0.009091988141258457	2680.0422052582626	0.00023307040118025808	0.00023731475264330732	-63.97731913210492	23.061883216947113	0.0004671338139679966	0.5883359616471034	3.6733817697138234	-1.7405239416146196e-6	1.418506421044451e-7	74.61334274278339
9	0	2000	25.	3	0.125	0.0029715214175252747	0.10274086481384355	1817.0364917372335	535.4061713954871	0.1460398733138953	23.434260875680415	456.6612378677211	0.09998365838679138	0.009092130498355649	2751.3125513283258	0.00022166847364868693	0.00023065660863345072	-53.95943281709061	19.40420615068126	0.0005948270321062788	0.5041285543326822	5.520894410126637	-1.7050690044509284e-6	1.4225262963401938e-7	67.97338029512109
